idpunto;idce;SPcod;ETAce;DEcod;FEha;Dce;Hce;Vce;Wce
259493;1;300;2;5;18.84445784;73;0.41;0.171600859;0.052653062
259493;2;300;2;5;18.84445784;35;0.575;0.055321483;0.016974539
182612;1;330;2;2;18.84445784;15.5;0.265;0.005000336;0.002471594
95174;4;300;2;4;18.84445784;21.5;0.155;0.00562728;0.002309612
95174;5;300;2;4;18.84445784;16.5;0.09;0.001924422;0.000789843
95174;6;260;2;5;18.84445784;16;0.105;0.00211115;0.000647774
95174;7;352;2;2;18.84445784;18;0.075;0.001908518;0.000943353
95174;8;300;2;3;18.84445784;14.5;0.09;0.00148617;0.000668704
95174;9;300;2;5;18.84445784;13;0.12;0.001592787;0.000488722
95174;10;300;2;4;18.84445784;10;0.105;0.000824668;0.00033847
95174;11;300;2;4;18.84445784;13;0.11;0.001460055;0.000599252
95174;12;300;2;5;18.84445784;14.5;0.18;0.002972339;0.000912016
95174;13;352;2;4;18.84445784;19;0.06;0.001701172;0.000698214
95174;14;352;2;4;18.84445784;15.5;0.045;0.000849114;0.000348503
95174;15;203;2;3;18.84445784;23;0.085;0.003531543;0.001589023
95174;16;203;2;3;18.84445784;18;0.12;0.003053628;0.001373984
95174;17;203;2;3;18.84445784;9.5;0.045;0.00031897;0.000143521
120429;5;308;2;4;18.84445784;13.5;0.115;0.001646096;0.000675609
120429;8;308;2;5;18.84445784;36;0.225;0.02290221;0.007027188
98081;1;10;2;3;18.84445784;15;0.08;0.001413717;0.000561213
98081;2;10;2;3;18.84445784;15.5;0.09;0.001698227;0.000674157
98081;3;10;2;3;18.84445784;20.5;0.175;0.005776113;0.002292983
98081;4;10;2;3;18.84445784;13;0.105;0.001393689;0.000553262
98081;5;10;2;3;18.84445784;17;0.125;0.002837251;0.001126323
98081;6;10;2;3;18.84445784;16.5;0.11;0.002352071;0.000933718
98081;7;10;2;3;18.84445784;14.5;0.095;0.001568735;0.000622751
98081;8;10;2;3;18.84445784;11;0.14;0.001330464;0.000528164
98081;9;10;2;3;18.84445784;11;0.09;0.000855299;0.000339534
98081;10;10;2;3;18.84445784;9.5;0.485;0.003437786;0.001364721
102809;1;10;2;2;18.84445784;16;0.035;0.000703717;0.000317301
102809;2;10;2;2;18.84445784;23;0.08;0.003323805;0.001498681
102809;3;10;2;4;18.84445784;23.5;0.085;0.003686757;0.001270972
102809;4;10;2;4;18.84445784;27;0.02;0.001145111;0.000394765
102809;5;80;2;3;18.84445784;27.5;0.045;0.002672808;0.001061043
102809;6;90;2;3;18.84445784;35.5;0.09;0.008908182;0.003536342
102809;7;330;2;3;18.84445784;10.5;0.055;0.000476246;0.000214288
102809;8;10;2;3;18.84445784;16.5;0.06;0.001282948;0.000509301
102809;9;10;2;3;18.84445784;36.5;0.055;0.005754907;0.002284565
102809;10;80;2;3;18.84445784;44;0.135;0.020527166;0.008148809
102809;11;90;2;3;18.84445784;48;0.055;0.009952566;0.003950938
102809;12;330;2;2;18.84445784;27;0.105;0.00601183;0.002971562
102809;13;10;2;5;18.84445784;28;0.06;0.003694513;0.00100191
102811;1;330;2;3;18.84445784;16.5;0.075;0.001603685;0.00072158
102811;2;330;2;3;18.84445784;19;0.08;0.00226823;0.001020593
102811;3;10;2;3;18.84445784;17;0.14;0.003177721;0.001261482
102811;4;10;2;3;18.84445784;17;0.07;0.00158886;0.000630741
102811;5;10;2;3;18.84445784;13.5;0.065;0.000930402;0.000369348
102811;6;10;2;3;18.84445784;23.5;0.095;0.004120493;0.00163574
102811;7;10;2;3;18.84445784;26;0.085;0.004512898;0.001791516
102811;8;10;2;3;18.84445784;14;0.06;0.000923628;0.000366659
102811;9;10;2;3;18.84445784;10.5;0.055;0.000476246;0.000189059
102811;10;10;2;3;18.84445784;22;0.08;0.003041062;0.001207231
102811;11;10;2;4;18.84445784;30.5;0.065;0.004749008;0.001637173
102811;12;330;2;3;18.84445784;10.5;0.07;0.000606131;0.00027273
102811;13;10;2;3;18.84445784;19;0.085;0.002409994;0.000956712
103224;1;330;2;4;18.84445784;38.5;0.275;0.032014302;0.013139672
103227;1;330;2;4;18.84445784;29.5;0.635;0.04340179;0.017813453
113784;1;300;2;4;18.84445784;27.5;0.135;0.008018424;0.003291012
113784;2;300;2;4;18.84445784;13;0.045;0.000597295;0.000245149
113784;3;300;2;4;18.84445784;16;0.07;0.001407434;0.000577655
113784;4;300;2;5;18.84445784;35.5;0.085;0.008413283;0.002581485
113784;5;300;2;5;18.84445784;44.5;0.07;0.010886993;0.003340505
113784;6;540;2;5;18.84445784;19;0.08;0.00226823;0.000695971
35841;20;302;2;4;18.84445784;87.5;0.375;0.225495176;0.09255028
21935;30;280;2;5;18.84445784;24;0.24;0.010857344;0.003331408
21935;33;280;2;5;18.84445784;9;0.37;0.002353838;0.000722239
21935;44;280;2;5;18.84445784;11.5;0.095;0.000986755;0.00030277
21935;45;280;2;2;18.84445784;24;0.075;0.00339292;0.001677072
118118;1;280;2;5;18.84445784;52.5;0.23;0.049789335;0.015277085
118118;2;280;2;4;18.84445784;47.5;0.26;0.04607342;0.018909974
18198;3;20;2;5;18.84445784;23;0.095;0.003947018;0.001070387
