idpunto;LAT_ND_W84;LON_ND_W84;NORD_ND_GB;EST_ND_GB;FUSO;codISTAT05;nomedist05;codcfor;Napv_ha;Gapv_ha;Vapv_ha;W1apv_ha;W2apv_ha;W3apv_ha;W4apv_ha;Capv_ha;Napm_ha;Gapm_ha;Vapm_ha;Wapm_ha;Capm_ha;ICVapv_ha;ICWapv_ha;ICCapv_ha;Nce_ha;Vce_ha;Wce_ha;Cce_ha;Vne_ha;Wne_ha;Cne_ha;Nrin1_ha;Wrin1_ha;Crin1_ha;Nrin2_ha;Wrin2_ha;Crin2_ha;Nrin3_ha;Wrin3_ha;Crin3_ha;Warb1_ha;Carb1_ha;Warb2_ha;Carb2_ha;Warb3_ha;Carb3_ha;Vut_ha;Wut_ha;Cut_ha
136258;43.45473932;11.9455608;4815545;1738347;Ovest;009;Toscana;5;979.9118079;53.28995953;480.9792519;216.9741243;76.23937238;3.89816806;297.1116648;148.5558324;0;0;0;0;0;13.55021506;7.539424364;3.769712182;0;0;0;0;0.272450744;0.09317201;0.046586005;5570.423008;0.18252048;0.09126024;0;0;0;3978.873577;8.571010939;4.28550547;0;0;1.551162273;0.775581136;0;0;0;0;0
136267;43.45473932;12.05675831;4815870;1747344;Ovest;009;Toscana;10;2727.735273;12.87191013;44.51278153;27.64161957;14.50057814;0.740730246;42.88292795;21.44146397;199.044586;0.390823131;0.816357844;0.426764234;0.213382117;2.073620083;1.694152632;0.847076316;113.0667471;0.361442481;0.172702666;0.086351333;0;0;0;11936.62073;0.391115315;0.195557657;5570.423008;1.847141129;0.923570564;0;0;0;0.447770496;0.223885248;2.908429261;1.454214631;0;0;0;0;0
136285;43.45473932;12.27915332;4814926;2299871;Est;010;Umbria;12;2453.312856;9.590383365;24.94601602;14.80688105;11.86805055;0.423566101;27.0984977;13.54924885;0;0;0;0;0;0.892166826;0.764012227;0.382006113;0;0;0;0;0;0;0;0;0;0;27056.34033;8.971828339;4.48591417;11936.62073;25.71303282;12.85651641;0.400636759;0.20031838;0.387790568;0.193895284;0;0;0;0;0
136295;43.45473932;12.40270611;4814606;2309868;Est;010;Umbria;14;990.5118155;31.5101496;235.6615134;109.3155418;35.91786823;2.651157648;147.8845677;73.94228384;0;0;0;0;0;7.111983166;5.287281376;2.643640688;0;0;0;0;0;0;0;3183.098862;0.104297417;0.052148709;0;0;0;0;0;0;0.596712;0.298356;0;0;0;0;0;0;0
136301;43.45473932;12.47683778;4814422;2315866;Est;010;Umbria;12;2084.668149;5.772249509;12.5696079;7.504467884;10.24505834;1.104530053;18.85405628;9.427028141;0;0;0;0;0;0.621451742;0.532183798;0.266091899;0;0;0;0;0;0;0;0;0;0;2387.324146;0.791631912;0.395815956;2387.324146;5.142606563;2.571303282;0.494904232;0.247452116;0.581685852;0.290842926;0;0;0;0;0
136303;43.45473932;12.50154834;4814361;2317865;Est;010;Umbria;19;3079.891079;14.70605002;50.01704974;35.26925193;11.83159649;1.151951343;48.25279976;24.12639988;0;0;0;0;0;8.845011035;6.655189578;3.327594789;0;0;0;0;0;0;0;3978.873577;0.130371772;0.065185886;795.7747155;0.263877304;0.131938652;795.7747155;1.714202188;0.857101094;0;0;0;0;0;0;0;0;0
136334;43.45473932;12.88456197;4813503;2348855;Est;011;Marche;13;2413.268383;32.66476601;186.5147839;96.45643859;28.96596867;2.86650852;128.2889158;64.14445789;995.2229299;3.11095212;9.981090484;5.217776077;2.608888039;1.505618951;0.959410053;0.479705026;18.84445784;0.109463777;0.044927362;0.022463681;4.942273767;2.515184766;1.257592383;7161.972439;0.234669189;0.117334594;4774.648293;1.583263825;0.791631912;1591.549431;3.428404376;1.714202188;0.707006046;0.353503023;9.888659488;4.944329744;6.395765529;3.197882765;0;0;0
136336;43.45473932;12.90927253;4813452;2350854;Est;011;Marche;9;4516.78099;22.44934314;76.92311429;46.16827272;22.89820882;1.447376296;70.51385784;35.25692892;0;0;0;0;0;1.149966402;0.963777761;0.48188888;0;0;0;0;0;0;0;4774.648293;0.156446126;0.078223063;7161.972439;2.374895737;1.187447868;3978.873577;8.571010939;4.28550547;1.510162341;0.75508117;4.653486818;2.326743409;7.994706911;3.997353456;0;0;0
136341;43.45473932;12.97104892;4813328;2355853;Est;011;Marche;6;1170.711944;31.01609366;149.7004179;67.47315457;26.42644298;1.809952026;95.70954957;47.85477479;395.7336147;11.06811106;50.73812465;22.33397725;11.16698863;1.986941029;1.179325914;0.589662957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.193424;0.596712;0;0;0;0;0;0;0
136414;43.44573855;10.59911025;4811572;1629424;Ovest;009;Toscana;10;395.7336147;11.14729321;71.6378009;46.00703496;9.50422924;1.238618243;56.74988245;28.37494122;0;0;0;0;0;3.248432367;2.653977114;1.326988557;452.2669883;1.056460136;0.540209283;0.270104641;1.25144804;0.512377516;0.256188758;9549.296586;0.312892252;0.156446126;21485.91732;7.124687211;3.562343605;2387.324146;5.142606563;2.571303282;1.101985287;0.550992643;2.981718125;1.490859062;6.395765529;3.197882765;0;0;0
