idpunto;idapm;SPcod;VITcod;DEcod;FEha;Dapm;Hapm;Gapm;Vapm;W4apm
239255;6;540;6;3;18.84445784;14;11.70361047;0.015393804;0.07926293;0.040717785
92156;7;308;6;2;18.84445784;32.5;18.53965246;0.082957681;0.878468511;0.461894469
92156;9;201;6;2;18.84445784;12;10.57605691;0.011309734;0.058164611;0.03058267
93697;27;240;6;2;18.84445784;12;10.3793291;0.011309734;0.05351973;0.028140414
25095;26;280;6;3;18.84445784;49;19.9471497;0.188574099;1.783735247;0.916314212
240230;1;409;6;1;199.044586;6;4.278099043;0.002827433;0.009358516;0.004892315
240230;2;409;6;1;199.044586;7;4.605269655;0.003848451;0.011971073;0.006258071
37871;8;239;6;1;18.84445784;27;19.30856474;0.057255526;0.452612162;0.23661031
101901;49;280;6;2;18.84445784;12.5;11.98293389;0.012271846;0.075692407;0.0397987
275026;10;280;6;2;18.84445784;12;13.6923955;0.011309734;0.078949523;0.041511275
275026;13;280;6;2;18.84445784;11;13.05038826;0.009503318;0.063865248;0.033580037
275026;16;280;6;3;18.84445784;10;12.3509529;0.007853982;0.050556269;0.025971022
275026;19;280;6;3;18.84445784;10.5;12.70819163;0.008659015;0.056990957;0.029276555
275026;21;280;6;3;18.84445784;10.5;12.70819163;0.008659015;0.056990957;0.029276555
96219;10;402;6;1;18.84445784;9.5;10.42942162;0.007088218;0.036282618;0.018967324
96219;11;402;6;1;18.84445784;11.5;11.71445031;0.010386891;0.062125928;0.032477331
96219;23;280;6;4;18.84445784;10;11.53467931;0.007853982;0.047574912;0.020864839
96641;18;625;6;1;199.044586;6;4.727926954;0.002827433;0.009865026;0.005157101
76238;2;400;6;1;199.044586;5;6.629100436;0.001963495;0.007165628;0.003745948
76238;8;400;6;1;199.044586;7;8.224632051;0.003848451;0.011215892;0.005863288
76238;12;424;6;2;18.84445784;16.5;13.35559987;0.021382465;0.122171818;0.064237347
76238;29;424;6;2;18.84445784;13.5;12.21948388;0.014313882;0.076984425;0.040478036
76238;42;80;6;2;18.84445784;12.5;9.293753151;0.012271846;0.065761574;0.027875098
76238;47;80;6;1;18.84445784;14;10.04440469;0.015393804;0.086035989;0.038102789
11404;10;440;6;1;199.044586;5;7.195400423;0.001963495;0.005271197;0.002755603
11404;21;440;6;1;199.044586;7;8.904899677;0.003848451;0.015077489;0.007882001
239245;16;352;6;2;18.84445784;9.5;7.6612868;0.007088218;0.026929121;0.014159201
185240;11;260;6;1;199.044586;5;5.104717584;0.001963495;0.003456871;0.001807135
198119;2;450;6;1;199.044586;5;5.033941319;0.001963495;0.002584782;0.001351236
198119;5;450;6;1;199.044586;6;5.391303774;0.002827433;0.00524103;0.002739833
198119;9;450;6;1;199.044586;8;5.973945692;0.005026548;0.012568678;0.006570479
198119;10;450;6;1;199.044586;5;5.033941319;0.001963495;0.002584782;0.001351236
198119;11;450;6;1;199.044586;6;5.391303774;0.002827433;0.00524103;0.002739833
198119;12;450;6;1;199.044586;6;5.391303774;0.002827433;0.00524103;0.002739833
198119;13;450;6;1;199.044586;7;5.701382058;0.003848451;0.00856067;0.004475228
198119;14;450;6;1;199.044586;6;5.391303774;0.002827433;0.00524103;0.002739833
198119;17;450;6;1;199.044586;8;5.973945692;0.005026548;0.012568678;0.006570479
198119;18;450;6;1;199.044586;6;5.391303774;0.002827433;0.00524103;0.002739833
198119;19;450;6;1;199.044586;6;5.391303774;0.002827433;0.00524103;0.002739833
198119;20;450;6;1;199.044586;5;5.033941319;0.001963495;0.002584782;0.001351236
198119;21;450;6;1;199.044586;9;6.215853783;0.006361725;0.017284626;0.009035817
198119;26;450;6;1;199.044586;5;5.033941319;0.001963495;0.002584782;0.001351236
198119;27;450;6;1;199.044586;5;5.033941319;0.001963495;0.002584782;0.001351236
198119;28;450;6;1;199.044586;7;5.701382058;0.003848451;0.00856067;0.004475228
129109;11;49;6;1;18.84445784;10;9.377033576;0.007853982;0.038972394;0.017259718
